약국명칭,약국소재지(도로명),전화번호,데이터기준일자
신탄제일큰약국,"대전광역시 대덕구 신탄진로 824, 1층 101호 (신탄진동)",042-933-2025,2025-01-01
공단약국,"대전광역시 대덕구 신일동로 1, 103호 (신일동)",042-932-6333,2025-01-01
제일태평양약국,"대전광역시 대덕구 계족로 540, 1층 (중리동)",042-622-0918,2025-01-01
베니스약국,"대전광역시 대덕구 계족로 538, 101호 (중리동)",0507-1323-5174,2025-01-01
가온비즈약국,"대전광역시 대덕구 대화로 120, 가온비즈타워 1층 R112호 (대화동)",0507-1455-0465,2025-01-01
회덕건강약국,"대전광역시 대덕구 대전로 1358, 1층 (읍내동)",070-4047-0006,2025-01-01
웰스365약국,대전광역시 대덕구 동서대로1777번길 17 (송촌동),042-710-6256,2025-01-01
신탄진수약국,"대전광역시 대덕구 신탄진로 811, 1층 (신탄진동)",0507-1451-1449,2025-01-01
빛소약국,"대전광역시 대덕구 대청로 38, 1층 101호 (신탄진동)",042-931-2627,2025-01-01
나래약국,"대전광역시 대덕구 중리북로31번길 11, SJ11빌딩 1층 (중리동)",042-625-1256,2025-01-01
메디칼약국,"대전광역시 대덕구 동춘당로94번길 11-7, 광혜빌딩 101호 (송촌동)",0507-1482-7503,2025-01-01
조은종로약국,대전광역시 대덕구 신탄진로 790(신탄진동),042-932-5775,2025-01-01
미소약국,"대전광역시 대덕구 석봉로37번길 60-19, 1층 (석봉동)",042-934-1383,2025-01-01
연세약국,대전광역시 대덕구 한남로114번길 71 (오정동),042-637-4627,2025-01-01
바른약국,"대전광역시 대덕구 대청로 12, 1층 104호 (신탄진동)",042-931-0200,2025-01-01
열린약국,대전광역시 대덕구 중리로75번길 2 (중리동),042-628-7100,2025-01-01
신약국,"대전광역시 대덕구 동춘당로 179, 골드타워 102호 (법동)",0507-1467-7588,2025-01-01
스마트약국,대전광역시 대덕구 송촌북로 60 (송촌동),042-639-8837,2025-01-01
늘푸른약국,"대전광역시 대덕구 동춘당로126번길 2, 103호 (송촌동, 아이프라자)",042-632-9484,2025-01-01
이편한약국,대전광역시 대덕구 신탄진로 780 (신탄진동),042-932-5656,2025-01-01
비래동 성모약국,대전광역시 대덕구 비래동로 7 (비래동),070-8822-2179,2025-01-01
오정약국,대전광역시 대덕구 오정로 5 (오정동),042-638-5569,2025-01-01
송약국,대전광역시 대덕구 덕암로181번길 1 (덕암동),042-933-1957,2025-01-01
하선약국,대전광역시 대덕구 대전로 1119 (오정동),042-621-7770,2025-01-01
하선약국,대전광역시 대덕구 대전로 1119 (오정동),042-621-7770,2025-01-01
중리약국,대전광역시 대덕구 중리남로 5 (중리동),042-621-7505,2025-01-01
엑슬루약국,"대전광역시 대덕구 대덕대로 1555, 309호 (석봉동, 금강엑슬루타워)",042-935-3375,2025-01-01
별 약국,대전광역시 대덕구 계족로 617 (중리동),042-631-2100,2025-01-01
이지약국,대전광역시 대덕구 동서대로 1783 (송촌동),042-631-2472,2025-01-01
우리들약국,대전광역시 대덕구 대전로 1211 (오정동),042-672-7758,2025-01-01
한숲온누리약국,대전광역시 대덕구 계족로489번길 82 (중리동),042-622-9337,2025-01-01
