순번,약국명칭,약국전화번호,약국소재지(도로명)
1,동구우리약국,042-285-2333,"대전광역시 동구 대전로542번길 80-87, 103,104호 (천동)"
2,큰나무약국,042-382-8275,"대전광역시 동구 계족로 33, 107, 108호 (효동)"
3,스마일약국,042-286-5575,"대전광역시 동구 은어송로 63, 글로리타워 투 105호 (가오동)"
4,드림약국,,"대전광역시 동구 동구청로 89-2, 제이타워 103호 (가오동)"
5,맑은샘약국,042-286-2777,"대전광역시 동구 은어송로 55, 그린타워 1층 102호 (가오동)"
6,길약국,042-284-7416,"대전광역시 동구 대전로 619, 1층 (효동)"
7,굿모닝약국,042-273-9633,"대전광역시 동구 은어송로 73, 1층 1호 (가오동)"
8,영성일약국,042-271-2774,"대전광역시 동구 계족로 10, 107호 (효동)"
9,강산약국,042-272-0348,"대전광역시 동구 보문로 4, 플러스크리닉 1층 (효동)"
10,누리약국,042-282-9129,"대전광역시 동구 은어송로 72, 패션아일랜드 지하1층 (가오동)"
11,행복약국,042-274-8481,"대전광역시 동구 대전로542번길 80-57, 어울림타워 102호 (천동)"
12,새봄약국,042-286-7228,"대전광역시 동구 동구청로 101, 103호 (가오동, 세이프존)"
13,나눔약국,042-272-3637,"대전광역시 동구 은어송로 33, 1층 (가오동)"
14,은어송약국,042-286-1030,대전광역시 동구 은어송로 58 (가오동)
15,가오온누리약국,042-286-1023,대전광역시 동구 은어송로 60 (가오동)
16,구일약국,042-282-9108,"대전광역시 동구 대전로 646, 상가동 1층 101호 (효동, 효동현대아파트)"
17,다온약국,042-627-5678,"대전광역시 동구 홍도로 7, 1층 (홍도동)"
18,한남약국(한약국),042-626-8275,대전광역시 동구 한남로 13-1 (홍도동)
19,조이약국,042-635-7501,"대전광역시 동구 동산초교로 41, 105호 (홍도동)"
20,대전종로약국,042-636-8080,대전광역시 동구 동서대로 1629-6 (홍도동)
21,버들온누리약국,042-622-0036,대전광역시 동구 동산초교로23번길 5 (홍도동)
22,복지약국,042-283-8338,"대전광역시 동구 동부로 73, 상가동 107호 (판암동, 주공아파트)"
23,마루약국,042-272-5777,"대전광역시 동구 동부로73번길 6, 1층 1호 (판암동)"
24,아이원약국,042-271-7553,"대전광역시 동구 옥천로 153, 101,102호 (판암동)"
25,오케이약국(OK약국),042-282-9082,"대전광역시 동구 동부로 27, 104호 (판암동)"
26,별약국,042-721-0600,"대전광역시 동구 옥천로 177, 1층 103호 (판암동)"
27,판암제일약국,042-285-4800,"대전광역시 동구 옥천로 183, 1층 119,120,121호 (판암동)"
28,기쁜우리약국,042-273-5688,"대전광역시 동구 동구청로 205, 1층 (판암동)"
29,명약국,042-272-8900,대전광역시 동구 옥천로 148 (판암동)
30,판암늘사랑약국,042-272-8250,대전광역시 동구 옥천로 170 (판암동)
31,오 약 국,042-272-8062,대전광역시 동구 옥천로180번길 4 (판암동)
32,청우온누리약국,042-273-8300,대전광역시 동구 옥천로180번길 18 (판암동)
33,자영약국,,"대전광역시 동구 계족로 255, 1층 (소제동)"
34,역전약국,042-256-3731,"대전광역시 동구 대전로 812, 1층 (정동)"
35,백제당한약국,042-252-6336,"대전광역시 동구 대전로813번길 15, 1층 (중동)"
36,메트로약국,042-721-9009,"대전광역시 동구 대전로 792, 1층 (중동)"
37,대전역약국,070-8691-0150,"대전광역시 동구 중앙로 215, 대전역 3층 (정동)"
