순번,약국명칭,약국소재지(도로명),약국전화번호
1,이화약국,"대전광역시 서구 관저로 157, 하이존 105호 (관저동)",042-541-8272
2,리본약국,"대전광역시 서구 탄방로 112, 1층 (용문동)",042-721-0230
3,뉴굿모닝약국,"대전광역시 서구 계룡로 607, 1층 103호 (탄방동)",042-000-0000
4,용문일등약국,"대전광역시 서구 계룡로 639, 에이스침대 대전사옥 1층 2호 (탄방동)",042-710-8283
5,빛나약국,"대전광역시 서구 문정로2번길 145, 1층 일부호 (탄방동)",042-348-0854
6,건양강남약국,"대전광역시 서구 관저동로 164, 1층 (관저동)",042-541-6348
7,용문비타민약국,"대전광역시 서구 도산로 402, 양녕빌딩 103호 (용문동)",042-537-1275
8,라온약국,"대전광역시 서구 계룡로 656, 1층 (용문동)",042-524-8353
9,솔솔약국,"대전광역시 서구 둔산로 129, 101-2호 (둔산동)",042-710-0068
10,도우리약국,"대전광역시 서구 한밭대로 817, 이랜드 PEER 둔산 116호, 117호 (둔산동)",042-488-3650
11,탄방포도알약국,"대전광역시 서구 괴정로 30, 숭어리샘타운 109호 (괴정동)",042-535-1195
12,관저123약국,"대전광역시 서구 계백로 993, 대전 관저 클리닉 센터 101호 (관저동)",042-000-0000
13,도안우리약국,"대전광역시 서구 도안동로 234-54, 대전도안레이크타워 119호 (도안동)",042-544-1238
14,둔산탑약국,"대전광역시 서구 대덕대로175번길 16, 1층 101호 (둔산동)",042-710-6300
15,365변동매일약국,"대전광역시 서구 도산로 183, 1층 (변동)",042-223-4654
16,큰약국,"대전광역시 서구 계백로 1013, 1층 104~105호 (관저동)",042-710-0280
17,진약국,"대전광역시 서구 도산로 372, 수메디컬센터 1층 101호 (용문동)",042-710-6600
18,벨라약국,"대전광역시 서구 관저동로 170, 건양 타워 129,130호 (관저동)",0507-1413-4580
19,시티약국,"대전광역시 서구 둔산로 76, 1층 101호 (둔산동)",042-471-4300
20,둔산봄약국,"대전광역시 서구 대덕대로 199, 1층 (둔산동)",042-477-5880
21,관저올빼미약국,"대전광역시 서구 계백로 900, 1층 (관저동)",042-721-2468
22,탄방으뜸약국,"대전광역시 서구 문정로60번길 20, SN 빌딩 1층 (탄방동)",042-471-7711
23,엄마꿈약국,"대전광역시 서구 계룡로 568, 103호 (괴정동, 삼영빌딩)",042-533-1833
24,유약국,"대전광역시 서구 대덕대로234번길 18, 유웰빌딩 지하1층 (둔산동)",042-471-3777
25,365용문약국,"대전광역시 서구 계룡로 640, 1층 101호 (용문동)",042-525-0365
26,을지나은약국,대전광역시 서구 대덕대로242번길 48(둔산동),042-488-2929
27,슬기로운약국,"대전광역시 서구 둔산중로 46, 102호 (둔산동)",042-485-1416
28,해피백약국,대전광역시 서구 청사서로 46(월평동),042-487-1236
29,하나로약국,"대전광역시 서구 구봉로 111, 하나로마트 1층 (관저동)",070-4110-1757
30,시청큰약국,"대전광역시 서구 둔산로123번길 21, 1층 (둔산동)",042-721-3070
31,밝은약국,"대전광역시 서구 관저동로105번길 8, 1층 (관저동)",042-341-4560
32,다온약국,"대전광역시 서구 청사로 282 (둔산동, 수정타운)",042-484-1488
33,보고약국,"대전광역시 서구 둔산로 61, 1층 (둔산동)",042-716-0039
34,제일큰약국,"대전광역시 서구 동서대로 1036, 1층 (내동)",042-389-3455
35,모닝약국,"대전광역시 서구 월평북로 79, 1층 (월평동)",042-488-3963
36,일등프라자약국,"대전광역시 서구 문정로 134, 1층 104호 (탄방동)",042-471-6543
37,마치약국,"대전광역시 서구 구봉로131번길 49, 1층 (관저동)",042-544-4927
38,나음약국,"대전광역시 서구 문정로 144, 1층 (탄방동)",042-483-7588
39,구름약국,"대전광역시 서구 구봉로 137, 202일부호 (관저동)",042-543-0043
40,햇살약국,"대전광역시 서구 관저북로13번길 23-24, 승암빌딩 102호 (관저동)",042-564-7890
41,밝은365약국,"대전광역시 서구 대덕대로 222, 강남프라자 106호 (둔산동)",042-322-4560
42,즐거운약국,"대전광역시 서구 문정로 96, 202호 (탄방동)",042-488-5670
43,청춘약국,"대전광역시 서구 문정로 77, 로데오 타운 102호 (탄방동)",042-477-4654
44,래미안종로약국,"대전광역시 서구 가장로 106, 상가동 1층 (가장동, 삼성 래미안아파트)",042-528-0300
45,더좋은약국,"대전광역시 서구 관저로 23, 구봉프라자 108호 (관저동)",042-543-2528
46,도마조아약국,"대전광역시 서구 배재로 175, 1층 (도마동)",042-535-5545
47,365스마일약국,"대전광역시 서구 관저로 27, 102호 (관저동)",042-342-0045
48,나의라임약국,"대전광역시 서구 관저중로 98, 리틀파워존 205호 (관저동)",042-545-1622
49,미라클약국,"대전광역시 서구 둔산로 52, 미라클빌딩 104호 (둔산동)",042-484-9600
50,엄지약국,"대전광역시 서구 계룡로 628, 1층 (용문동)",042-536-2238
51,대동한약국,"대전광역시 서구 갈마로261번길 35, 한민시장 1층 1-118호 (괴정동)",042-368-1075
52,연합수약국,"대전광역시 서구 관저북로 15, 관저D&A프라자 104호 (관저동)",042-545-9750
53,별약국,"대전광역시 서구 배재로 196, 평강빌딩 1층 (도마동)",042-525-1921
54,해든약국,"대전광역시 서구 둔산로 25, 1층 (둔산동)",042-472-1898
55,바른약국,"대전광역시 서구 계룡로 599, 한밭새마을금고 사옥 1층 (탄방동)",042-537-7733
56,맑디맑은약국,"대전광역시 서구 한밭대로 580, 신세계이마트 1층 (월평동)",070-4408-8279
57,더관저우리들약국,"대전광역시 서구 도안대로 25, 1층 (관저동)",042-542-1727
58,선사프라임약국,"대전광역시 서구 청사로 128, 칼릭스빌딩 106호 (월평동)",042-255-8181
59,누리샤크존약국,"대전광역시 서구 둔산중로 19, 샤크존 2층 212호 (탄방동)",042-488-0509
60,매일약국,대전광역시 서구 도산로 91 (도마동),042-533-3482
61,대학약국,"대전광역시 서구 관저동로 162, 건양프라자 (관저동)",042-541-0050
62,둔산백화점약국,"대전광역시 서구 문예로 63, 행촌회관 1층 (둔산동)",042-476-2662
63,햇살가득한약국,"대전광역시 서구 둔산북로 175, 104호 (둔산동, 햇님아파트)",042-477-7233
64,도담약국,대전광역시 서구 대덕대로 189 (둔산동),042-486-7009
65,도마솔약국,"대전광역시 서구 도산로 63, 도마정형외과 (도마동)",042-535-8837
66,누리약국,대전광역시 서구 문예로 69 (둔산동),042-477-0043
67,갈마드림약국,대전광역시 서구 신갈마로 110-1 (갈마동),042-531-7551
68,관저우리약국,"대전광역시 서구 관저동로 170, 건양 타워 131,132호 (관저동)",042-542-3550
69,느리울약국,대전광역시 서구 구봉로 125 (관저동),042-488-2601
70,도솔약국,대전광역시 서구 도솔로 96 (도마동),042-523-1233
71,산들약국,대전광역시 서구 둔산로 210-1 (둔산동),042-483-0836
72,자연약국,대전광역시 서구 청사로 234 (둔산동),042-488-3696
73,늘사랑약국,대전광역시 서구 관저중로95번길 57 (관저동),042-545-0074
74,도토리약국,대전광역시 서구 도산로 51 (도마동),042-522-9206
75,평촌약국,대전광역시 서구 벌곡로 417 (평촌동),042-583-9520
76,하나약국,"대전광역시 서구 월평서로 11, 신신빌딩 (월평동)",042-719-7530
77,다정약국,대전광역시 서구 갈마중로 11 (갈마동),042-532-4831
78,정림종로약국,"대전광역시 서구 계백로 1272, 1층 (정림동)",042-583-8933
