시도명,시군구명,약국명,소재지도로명주소,전화번호
대전광역시,유성구,관평우리약국,"대전광역시 유성구 테크노4로 115, 지상1층 102호 (관평동)",042-719-7711
대전광역시,유성구,메디본약국,"대전광역시 유성구 동서대로 681, 웰라이프 빌딩 지상1층 일부호 (원신흥동)",042-822-7001
대전광역시,유성구,도안365약국,"대전광역시 유성구 상대복용로29번길 52, 상가동 지하1층 1-55호 (상대동, 대전아이파크시티 1단지)",042-000-0000
대전광역시,유성구,착한약국,"대전광역시 유성구 은구비서로 37, 지상1층 (지족동)",042-000-0000
대전광역시,유성구,도안참사랑약국,대전광역시 유성구  월드컵대로316번길  64 (상대동),042-825-6030
대전광역시,유성구,태평양약국,"대전광역시 유성구 배울1로 132, 용산써밋프라자 Ⅰ 지상1층 101,102호 (용산동)",042-931-8857
대전광역시,유성구,이화바로약국,"대전광역시 유성구 배울1로 128, 용산써밋프라자 Ⅱ 지상1층 103호 (용산동)",042-935-6936
대전광역시,유성구,호반약국,"대전광역시 유성구 배울1로 122, 호반써밋프라자 Ⅰ 지상1층 103호 (용산동)",042-933-8386
대전광역시,유성구,청아한약국,"대전광역시 유성구 유성대로654번길 133, 지상1층 (구암동)",042-000-0000
대전광역시,유성구,동네약국,"대전광역시 유성구 반석로 7, 애니빌프라자 지상1층 104호 (반석동)",042-824-5433
대전광역시,유성구,알뜰한약국,"대전광역시 유성구 계백로555번길 14, 지상1층 (방동)",042-222-7775
대전광역시,유성구,봉명심야약국,"대전광역시 유성구 온천북로13번길 21, 지상1층 109호 (봉명동)",042-822-8469
대전광역시,유성구,조이약국,"대전광역시 유성구 대학로 1, 지상3층 (봉명동)",042-825-5255
대전광역시,유성구,순수약국,"대전광역시 유성구 문지로299번길 86-4, 지상1층 (문지동)",042-721-0005
대전광역시,유성구,비범한약국,"대전광역시 유성구 온천로 45, 유성 푸르지오 시티 3층 305호 (봉명동)",042-000-0000
대전광역시,유성구,더나은약국,"대전광역시 유성구 계룡로 6, 더원빌딩 1층 (구암동)",042-824-2268
대전광역시,유성구,다사랑약국,"대전광역시 유성구 노은로 144, 노은타운 111호 (지족동)",042-476-0038
대전광역시,유성구,코미약국,"대전광역시 유성구 원신흥로 122-3, 레이크빌딩 Ⅱ 101호 (원신흥동)",0507-1429-6377
대전광역시,유성구,유성한사랑약국,대전광역시 유성구 온천동로 43 (봉명동),042-824-7979
대전광역시,유성구,상대온누리약국,"대전광역시 유성구 상대복용로29번길 9-18, 아이클리닉 104호 (상대동)",042-826-2132
대전광역시,유성구,더현대약국,"대전광역시 유성구 테크노중앙로 74, 102호 (관평동)",042-365-1275
대전광역시,유성구,도룡365약국,"대전광역시 유성구 엑스포로123번길 27-22, 제1층 제6호 (도룡동)",042-000-0000
대전광역시,유성구,바른약국,"대전광역시 유성구 테크노중앙로 40, 남일프라자 1층 107호 (관평동)",042-933-0821
대전광역시,유성구,행복약국,"대전광역시 유성구 테크노중앙로 47, 1층 112호 (관평동)",042-671-0097
대전광역시,유성구,우리약국,대전광역시 유성구 북유성대로 87(지족동),042-000-0000
대전광역시,유성구,으뜸약국,"대전광역시 유성구 학하로 104, 102호 (학하동)",042-335-0715
대전광역시,유성구,유성대학약국,대전광역시 유성구 북유성대로 89(지족동),042-000-0000
대전광역시,유성구,박진희약국,"대전광역시 유성구 지족로 355, 월드프라자 1층 104호 (지족동)",042-721-2355
대전광역시,유성구,유성건강약국,"대전광역시 유성구 계룡로155번길 26-12, 1층 (봉명동)",042-822-7627
대전광역시,유성구,김약국,"대전광역시 유성구 봉산로 27, 송강프라자 2층 209(일부)호 (송강동)",042-933-7983
대전광역시,유성구,올바른약국,"대전광역시 유성구 계룡로 142, 지상1층 101호 (봉명동)",042-822-5503
대전광역시,유성구,유성365약국,"대전광역시 유성구 대학로 44, 1층 111,112호 (봉명동)",042-822-5548
대전광역시,유성구,슬기로운한약국,"대전광역시 유성구 관평1로 15, 더리치타운 지상1층 111호 (관평동)",042-933-0484
대전광역시,유성구,정약국,"대전광역시 유성구 엑스포로 1, 신세계엑스포점 타워동 지상5층 (도룡동)",042-607-8408
대전광역시,유성구,도안새봄약국,"대전광역시 유성구 도안북로 79, 지상1층 (용계동)",042-719-2177
