폐의약품수거장소명,폐의약품수거구분,소재지도로명주소,전화번호,데이터기준일자
대덕구청 민원봉사과,폐의약품수거함,대전광역시 대덕구 대전로1033번길 20(오정동),042-608-6114,2025-08-18
오정동 행정복지센터,폐의약품수거함,대전광역시 대덕구 한밭대로972번길 92 (오정동) ,042-608-5601,2025-08-18
대화동 행정복지센터,폐의약품수거함,대전광역시 대덕구 동심5길 10 (대화동) ,042-608-5602,2025-08-18
회덕동 행정복지센터,폐의약품수거함,대전광역시 대덕구 대전로 1376(읍내동),042-608-5603,2025-08-18
비래동 행정복지센터,폐의약품수거함,대전광역시 대덕구 비래동로 10 (비래동) ,042-608-5604,2025-08-18
송촌동 행정복지센터,폐의약품수거함,대전광역시 대덕구 동춘당로94번길 11 (송촌동) ,042-608-5605,2025-08-18
중리동 행정복지센터,폐의약품수거함,대전광역시 대덕구 중리남로 47 (중리동) ,042-608-5606,2025-08-18
법1동 행정복지센터,폐의약품수거함,대전광역시 대덕구 계족로663번길 36 (법1동) ,042-608-5607,2025-08-18
법2동 행정복지센터,폐의약품수거함,대전광역시 대덕구 동춘당로 187 (법동),042-608-5608,2025-08-18
신탄진동 행정복지센터,폐의약품수거함,대전광역시 대덕구 신탄진로 836 (신탄진동),042-608-5609,2025-08-18
석봉동 행정복지센터,폐의약품수거함,대전광역시 대덕구 대덕대로 1579 (석봉동),042-608-5610,2025-08-18
덕암동 행정복지센터,폐의약품수거함,대전광역시 대덕구 덕암북로104번길 60 (덕암동) ,042-608-5611,2025-08-18
목상동 행정복지센터,폐의약품수거함,대전광역시 대덕구 대덕대로1470번길 7 (목상동) ,042-608-5612,2025-08-18
대덕구 보건소,폐의약품수거함,대전광역시 대덕구 석봉로38번길 55(석봉동),,2025-08-18
장동 보건진료소,폐의약품수거함,대전광역시 대덕구 장동로 213(장동),,2025-08-18
빛소약국,폐의약품수거가능약국,"대전광역시 대덕구 대청로 38, 1층 101호 (신탄진동)",,2025-08-18
나래약국,폐의약품수거가능약국,"대전광역시 대덕구 중리북로31번길 11, SJ11빌딩 1층 (중리동)",,2025-08-18
메디칼약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로94번길 11-7, 광혜빌딩 101호 (송촌동)",,2025-08-18
조은종로약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 790(신탄진동),042-932-5775,2025-08-18
미소약국,폐의약품수거가능약국,"대전광역시 대덕구 석봉로37번길 60-19, 1층 (석봉동)",042-934-1383,2025-08-18
연세약국,폐의약품수거가능약국,대전광역시 대덕구 한남로114번길 71 (오정동),042-637-4627,2025-08-18
동명약국,폐의약품수거가능약국,"대전광역시 대덕구 덕암로136번길 15, (주)동명양행 (상서동)",042-863-2350,2025-08-18
바른약국,폐의약품수거가능약국,"대전광역시 대덕구 신탄진로 811, 현대증권 1층 (신탄진동)",042-931-0200,2025-08-18
열린약국,폐의약품수거가능약국,대전광역시 대덕구 중리로75번길 2 (중리동),042-628-7100,2025-08-18
신약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로 179, 골드타워 102호 (법동)",042-633-7588,2025-08-18
스마트약국,폐의약품수거가능약국,대전광역시 대덕구 송촌북로 60 (송촌동),042-639-8837,2025-08-18
늘푸른약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로126번길 2, 103호 (송촌동, 아이프라자)",,2025-08-18
이편한약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 780 (신탄진동),042-932-5656,2025-08-18
비래동 성모약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로 7 (비래동),042-719-7724,2025-08-18
오정약국,폐의약품수거가능약국,대전광역시 대덕구 오정로 5 (오정동),042-638-5568,2025-08-18
송약국,폐의약품수거가능약국,대전광역시 대덕구 덕암로181번길 1 (덕암동),042-933-1957,2025-08-18
하선약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1119 (오정동),042-621-7770,2025-08-18
중리약국,폐의약품수거가능약국,대전광역시 대덕구 중리남로 5 (중리동),042-621-7505,2025-08-18
엑슬루약국,폐의약품수거가능약국,"대전광역시 대덕구 대덕대로 1555, 309호 (석봉동, 금강엑슬루타워)",042-935-3375,2025-08-18
별 약국,폐의약품수거가능약국,대전광역시 대덕구 계족로 617 (중리동),042-631-2100,2025-08-18
이지약국,폐의약품수거가능약국,대전광역시 대덕구 동서대로 1783 (송촌동),042-631-2472,2025-08-18
우리들약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1211 (오정동),042-672-7758,2025-08-18
한숲온누리약국,폐의약품수거가능약국,대전광역시 대덕구 계족로489번길 82 (중리동),042-622-9337,2025-08-18
하나로약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로664번길 27, 1층 101호 (법동, 한마음아파트상가)",042-673-5049,2025-08-18
태을약국,폐의약품수거가능약국,대전광역시 대덕구 중리로 21 (중리동),042-252-1495,2025-08-18
