순번,구청,구분명,수거장소명,도로명 주소,지번주소,행정동명,전화번호,비고
1,동구,구청,동구청(종합민원실),대전광역시 동구 동구청로 147(가오동),대전광역시 동구 가오동 425,효동,042-251-4565,
2,동구,구청,동구청(환경과),대전광역시 동구 동구청로 147(가오동),대전광역시 동구 가오동 425,효동,042-251-4565,
3,동구,보건소,보건소,대전광역시 동구 동구청로 147(가오동),대전광역시 동구 가오동 425,효동,042-251-6121,
4,동구,보건소,동구보건지소,대전광역시 동구 현암로 22(삼성동),대전광역시 동구 삼성동 374-1,삼성동,042-672-6008,
5,동구,보건소,세천보건진료소,대전광역시 동구 옥천로 635(세천동),대전광역시 동구 세천동 51-4,대청동,042-274-2091,
6,동구,약국,백제당한약국,"대전광역시 동구 대전로813번길 15, 1층 (중동)",대전광역시 동구 중동 23-5,중앙동,042-252-6336,
7,동구,약국,가오약국,"대전광역시 동구 대전로 463, 1층 (가오동)",대전광역시 동구 가오동 387-14,효동,042-283-3621,
8,동구,약국,예손약국,"대전광역시 동구 계족로 63, 동대전농협 1층 (인동)",대전광역시 동구 인동 358,신인동,070-7636-9889,
9,동구,약국,봄약국,"대전광역시 동구 동대전로 161-1, 1층 (자양동)",대전광역시 동구 자양동 67-17,자양동,042-624-7800,
10,동구,약국,오성약국,"대전광역시 동구 동대전로248번길 150, 1층 (가양동)",대전광역시 동구 가양동 151-3,가양2동,개인정보 포함,
11,동구,약국,다온약국,"대전광역시 동구 홍도로 7, 1층 (홍도동)",대전광역시 동구 홍도동 13-22,홍도동,042-627-5678,
12,동구,약국,맑은샘약국,"대전광역시 동구 은어송로 55, 그린타워 1층 102호 (가오동)",대전광역시 동구 가오동 609,효동,042-286-2777,
13,동구,약국,밝은우리약국,"대전광역시 동구 새들2길 30, 1층 104호 (신흥동)",대전광역시 동구 신흥동 249,신인동,042-273-3075,
14,동구,약국,어진약국,"대전광역시 동구 계족로 73, 1층 (신흥동)",대전광역시 동구 신흥동 97-5,신인동,042-273-8279,
15,동구,약국,마음약국,대전광역시 동구 동서대로1695번길 4(용전동),대전광역시 동구 용전동 68-21,용전동,042-626-1387,
16,동구,약국,비타민약국,"대전광역시 동구 새울로 104, 1층 101호 (용운동)",대전광역시 동구 용운동 304-1,용운동,042-285-5022,
17,동구,약국,정다운약국,"대전광역시 동구 동부로73번길 20-7, (용운동)",대전광역시 동구 용운동 324-1,용운동,042-273-7272,용운동 근생시설 1층
18,동구,약국,모던약국,"대전광역시 동구 동구청로 89-2, 제이타워 1층 104호 (가오동)",대전광역시 동구 가오동 644,효동,042-286-7556,
19,동구,약국,성남약국,"대전광역시 동구 계족로 362, 성남약국 1층 (성남동)",대전광역시 동구 성남동 200-91,성남동,042-672-2957,
20,동구,약국,역전약국,대전광역시 동구 대전로 812 (정동),대전광역시 동구 정동 17-1,중앙동,042-256-3731,
21,동구,약국,수한약국,"대전광역시 동구 대전로 765-1, 1층 (원동)",대전광역시 동구 원동 43-3,중앙동,042-484-2210,
22,동구,약국,대전시민약국,"대전광역시 동구 동서대로 1677, 1층 (용전동)",대전광역시 동구 용전동 117-15,용전동,042-282-7575,
23,동구,약국,길약국,"대전광역시 동구 대전로 619, 1층 (효동)",대전광역시 동구 효동 255-3,효동,042-284-7416,
24,동구,약국,메트로약국,"대전광역시 동구 대전로 792, 1층 (중동)",대전광역시 동구 중동 75-3,중앙동,042-721-9009,
25,동구,약국,별약국,"대전광역시 동구 옥천로 177, 1층 103호 (판암동)",대전광역시 동구 판암동 865-3,판암1동,042-721-0600,
26,동구,약국,민정약국,"대전광역시 동구 동대전로 72-1, 1층 (대동)",대전광역시 동구 대동 150-3,대동,042-282-6264,
27,동구,약국,대전역약국,"대전광역시 동구 중앙로 215, 대전역 3층 (정동)",대전광역시 동구 정동 1-1,중앙동,070-8691-0150,
28,동구,약국,보명사약국,"대전광역시 동구 대전로 782-1, 1층 (원동)",대전광역시 동구 원동 20-3,중앙동,042-285-4900,
29,동구,약국,금강약국,대전광역시 동구 대전로 786-1 (원동),대전광역시 동구 원동 20-1,중앙동,042-273-2121,
30,동구,약국,산내햇님약국,"대전광역시 동구 산내로1287번길 10-5, 1층 (낭월동)",대전광역시 동구 낭월동 583,산내동,042-273-8575,
31,동구,약국,건강제일약국,대전광역시 동구 동대전로 90 (대동),대전광역시 동구 대동 79-18,대동,042-632-0881,
