순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
1,약국,건강약국,대전광역시 서구 가수원동 765-6,대전광역시 서구 계백로 1166-12(가수원동),3017059000,가수원동,3017011400,가수원동,윤**,,,36.3043117,127.3528777,2025-01-17
2,약국,가장약국,대전광역시 서구 가장동 45-9 가장크리닉,대전광역시 서구 도산로 286(가장동),3017057000,가장동,3017010900,가장동,이**,,,36.33197278,127.3856177,2025-01-17
3,약국,가장태평양약국,대전광역시 서구 가장동 32-23 온누리크리닉,대전광역시 서구 동서대로 1147(가장동),3017057000,가장동,3017010900,가장동,김**,,,36.32810335,127.3878309,2025-01-17
4,약국,갈마드림약국,대전광역시 서구 갈마동 393-13,대전광역시 서구 신갈마로 110-1(갈마동),3017058100,갈마1동,3017011100,갈마동,임**,,,36.34387587,127.3688336,2025-01-17
5,약국,갈마약국,대전광역시 서구 갈마동 261-14,대전광역시 서구 계룡로 353(갈마동),3017058100,갈마1동,3017011100,갈마동,이**,,,36.35371527,127.368451,2025-01-17
6,약국,기쁨가득한약국,대전광역시 서구 갈마동 394-16,대전광역시 서구 갈마로 79(갈마동),3017058200,갈마2동,3017011100,갈마동,최**,,,36.34519495,127.3698169,2025-01-17
7,약국,다정약국,대전광역시 서구 갈마동 343-45,대전광역시 서구 갈마중로 11(갈마동),3017058200,갈마2동,3017011100,갈마동,박**,,,36.34771102,127.3705182,2025-01-17
8,약국,건양건강약국,대전광역시 서구 관저동 1898,대전광역시 서구 관저동로 164(관저동),3017059600,관저1동,3017011600,관저동,최**,,,36.30687429,127.3411466,2025-01-17
9,약국,건양사랑약국,대전광역시 서구 관저동 1898,대전광역시 서구 관저동로 164(관저동),3017059600,관저1동,3017011600,관저동,차**,,,36.30687429,127.3411466,2025-01-17
10,약국,건양정문약국,대전광역시 서구 관저동 1899 건양프라자,대전광역시 서구 관저동로 162(관저동),3017059600,관저1동,3017011600,관저동,강**,,,36.30656898,127.3411443,2025-01-17
11,약국,건양행복약국,대전광역시 서구 관저동 1899,대전광역시 서구 관저동로 162,3017059600,관저1동,3017011600,관저동,김**,,,36.30656898,127.3411443,2025-01-17
12,약국,관저우리약국,대전광역시 서구 관저동 1896 건양 타워,대전광역시 서구 관저동로 170(관저동),3017059600,관저1동,3017011600,관저동,최**,,,36.30733096,127.341165,2025-01-17
13,약국,관저종로약국,대전광역시 서구 관저동 1754 월드상가,대전광역시 서구 관저북로 25(관저동),3017059600,관저1동,3017011600,관저동,유**,,,36.30397247,127.3367311,2025-01-17
14,약국,광장약국,대전광역시 서구 관저동 1781,대전광역시 서구 관저북로13번길 23-12(관저동),3017059600,관저1동,3017011600,관저동,이**,,,36.30248134,127.3354941,2025-01-17
