시도명,시군구명,위치명,도로명주소,지번주소
대전광역시 ,유성구,유성구보건소,대전광역시 유성구 박산로 177,대전광역시 유성구 구암동 91-6
대전광역시,유성구,온천1동 행정복지센터,대전광역시 유성구 도안대로589번길 35 (봉명동),대전광역시 유성구 봉명동 451번지
대전광역시,유성구,온천2동 행정복지센터,대전광역시 유성구 장대로 120 (장대동),대전광역시 유성구 장대동 40-2번지
대전광역시,유성구,원신흥동 행정복지센터,대전광역시 유성구 봉명로 27-18 (원신흥동),대전광역시 유성구 원신흥동 491-14번지
대전광역시,유성구,노은1동 행정복지센터,대전광역시 유성구 노은동로87번길 89 (노은동),대전광역시 유성구 노은동 546번지
대전광역시,유성구,노은2동 행정복지센터,대전광역시 유성구 송림로19번길 35 (하기동),대전광역시 유성구 하기동 411-1번지
대전광역시,유성구,노은3동 행정복지센터,대전광역시 유성구 지족동로 145 (지족동),대전광역시 유성구 지족동 1024-2번지
대전광역시,유성구,전민동 행정복지센터,대전광역시 유성구 유성대로 1719 (전민동),대전광역시 유성구 전민동 462-6번지
대전광역시,유성구,신성동 행정복지센터,대전광역시 유성구 신성로 55 (하기동),대전광역시 유성구 하기동 18-6번지
대전광역시,유성구,진잠동 행정복지센터,대전광역시 유성구 원내로 5 (원내동),대전광역시 유성구 원내동 213-4번지
대전광역시,유성구,구즉동 행정복지센터,대전광역시 유성구 금남구즉로 1442 (봉산동),대전광역시 유성구 봉산동 301-3번지 
대전광역시,유성구,관평동 행정복지센터,대전광역시 유성구 관평2로 42 (관평동),대전광역시 유성구 관평동 905번지 
대전광역시,유성구,관평뜰약국,"대전광역시 유성구 관평2로 56, 도모프라자 101호 (관평동)",대전광역시 유성구 관평동 911 도모프라자101호
대전광역시,유성구,국민약국,"대전광역시 유성구 계룡로 44, 1층 (봉명동)",대전광역시 유성구 봉명동 566-5 1층
대전광역시,유성구,노은열린약국,"대전광역시 유성구 노은동로 153, (지족동)",대전광역시 유성구 지족동 918-13 
대전광역시,유성구,노은온누리약국,"대전광역시 유성구 지족동로 152, (지족동)",대전광역시 유성구 지족동 1025-1
대전광역시,유성구,다솜약국,"대전광역시 유성구 학하서로20번길 21, (계산동)",대전광역시 유성구 계산동 801-3 
대전광역시,유성구,도안참사랑약국,"대전광역시 유성구 월드컵대로316번길 64, (상대동)",대전광역시 유성구 상대동 455-7
대전광역시,유성구,두리약국,"대전광역시 유성구 자운로97번길 410, 자운상가 (신봉동)",대전광역시 유성구 신봉동 230-14 자운상가
대전광역시,유성구,드림약국,"대전광역시 유성구 문화원로 14, (장대동)",대전광역시 유성구 장대동 353-5
대전광역시,유성구,메디팜조은약국,"대전광역시 유성구 은구비남로 37, (지족동)",대전광역시 유성구 지족동 907-10
대전광역시,유성구,명근당약국,"대전광역시 유성구 어은로58번길 2, (어은동)",대전광역시 유성구 어은동 110
