순번,약국명칭,약국전화번호,약국우편번호(도로명),약국소재지(도로명),팩스번호
1,자연주의중앙약국,042-254-3674,34926,"대전광역시 중구 대흥로165번길 46, 1층 (대흥동)",
2,연약국,042-526-6981,34900,"대전광역시 중구 계백로 1599, 1층 (유천동)",042-526-6981
3,365바른약국,042-710-4915,35082,"대전광역시 중구 산서로 28, 103호 (사정동)",042-710-4917
4,튼튼약국,042-223-0224,34851,"대전광역시 중구 선화서로 76, 102호 (선화동)",
5,선화호랑이약국,042-223-8532,34829,"대전광역시 중구 대종로594번길 51, 302동 119호 (선화동, 하늘채스카이앤1차)",042-223-8531
6,일등약국,042-525-7121,34909,"대전광역시 중구 계룡로 876, 102호 (오류동)",0508-912-2422
7,은혜로약국,042-223-3369,34964,대전광역시 중구 계룡로920번길 29 (대사동),042-233-3369
8,코웰약국,042-253-1118,34857,"대전광역시 중구 계룡로 849, 1층 (용두동)",070-8240-1115
9,대전가장큰약국,042-587-5999,34966,"대전광역시 중구 계백로 1608, 1층 (유천동)",042-587-5997
10,서대전약국,042-721-2638,34946,"대전광역시 중구 계룡로 931, 1층 102호 (대사동, 솔리안시티)",042-721-2639
11,맘모스약국,042-335-2638,35041,대전광역시 중구 보문산로 400 (대사동),
12,현약국,042-345-2345,34838,대전광역시 중구 중앙로137번길 27 (선화동),
13,선화참사랑약국,042-522-9231,34829,대전광역시 중구 대종로 608 (선화동),
14,태평햇살약국,042-525-9574,34885,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동)",
15,신중앙약국,042-716-1237,34914,"대전광역시 중구 중앙로 138, 1층 (대흥동)",
16,행복약국,042-584-5738,35011,"대전광역시 중구 산성로 55, 1층 (산성동)",042-584-5739
17,충대후문약국,042-222-0398,35041,"대전광역시 중구 보문산로 398, 1층 (대사동)",0508-930-0918
18,수정약국,042-252-2543,34940,"대전광역시 중구 중교로 15, 1층 (대흥동)",050-4213-5575
19,산성믿음약국,042-587-4433,35055,"대전광역시 중구 대둔산로 392, 1층 (산성동)",042-587-4434
20,셀메드신세계약국,042-487-1131,34891,"대전광역시 중구 계백로 1567, 1층 (유천동)",0504-196-3718
21,유천큰사랑약국,042-527-3650,34891,"대전광역시 중구 계백로 1543, 1층 (유천동)",042-527-3659
22,이화약국,042-581-4777,34993,"대전광역시 중구 당디로 52, 1층 (산성동)",042-581-4778
23,희망찬약국,042-721-5947,34946,"대전광역시 중구 계룡로 935, 1층 103호 (대사동)",042-721-5948
24,조은약국,042-257-2257,34942,"대전광역시 중구 대흥로66번길 27, 1층 (대흥동)",042-257-2258
25,대전성심약국,042-242-1839,34942,대전광역시 중구 대흥로66번길 17(대흥동),042-242-1784
26,늘봄약국,042-222-0662,34940,"대전광역시 중구 선화서로 1, 1층 (대흥동)",042-223-0662
27,정성약국,042-826-0800,34966,"대전광역시 중구 계백로 1600, 1층 (유천동)",042-826-0801
28,대성약국,042-272-3442,35033,대전광역시 중구 보문로 31 (문창동),
29,건강한약국,042-221-0333,34937,"대전광역시 중구 보문로 160-1, 1층 (대사동)",0504-182-4048
30,십자약국,042-585-0263,34980,대전광역시 중구 대둔산로 470 (산성동),
31,충대아산약국,042-257-2574,34964,대전광역시 중구 계룡로920번길 46 (대사동),
32,삼층민약국,070-7576-0567,34812,"대전광역시 중구 목중로 50, 중촌동제일프라자 404호 (중촌동)",070-7543-0569
33,온누리약국,042-522-0625,34900,"대전광역시 중구 계백로 1613, 대원빌딩 2층 2호 (유천동)",
34,센트럴약국,042-536-8639,34909,"대전광역시 중구 계백로 1709, 1층 102호 (오류동)",042-536-8640
35,더조은온누리약국,042-524-1230,34909,"대전광역시 중구 계백로 1715, 105호 (오류동)",042-524-1239
36,산성 약국,042-585-0243,35011,대전광역시 중구 보문산로 79 (산성동),
37,코지약국,042-364-4570,34922,"대전광역시 중구 대전천서로 457, 2층 (은행동)",042-365-4570
38,미소 약국,042-587-7346,34959,대전광역시 중구 서문로 133 (문화동),042-587-7345
39,햇살약국,042-226-9395,34943,대전광역시 중구 대흥로 42 (대흥동),042-226-9396
40,미래약국,042-255-8220,34857,"대전광역시 중구 선화로 9, 동성빌딩 1층 (용두동)",042-488-5647
41,대전중앙약국,042-252-9422,34832,대전광역시 중구 중앙로 153 (은행동),042-252-9423
42,은행약국,042-224-2365,34832,대전광역시 중구 중앙로 159 (은행동),042-224-2366
43,한밭제일약국,042-533-8575,34909,"대전광역시 중구 계백로 1711-1, 1층 (오류동)",
44,솔약국,042-255-8200,34944,"대전광역시 중구 중앙로16번길 23, 1층 (문화동)",
45,대선약국,042-256-5243,34811,"대전광역시 중구 목중로 31-3, 1층 (목동)",042-256-5241
46,이박사약국,042-255-7577,35041,대전광역시 중구 보문산로 404 (대사동),042-255-7559
47,화창한약국,042-242-8575,34964,"대전광역시 중구 계룡로 942, 1,2층 (대사동)",042-224-8575
48,우리약국,042-223-3007,34964,"대전광역시 중구 문화로 277, 1층 (대사동)",042-223-3009
49,이레약국,042-538-8276,34910,대전광역시 중구 계백로 1681 (오류동),0504-137-7506
50,고일약국,042-254-2500,34964,"대전광역시 중구 계룡로920번길 23, 1층 (대사동)",042-254-2501
51,글꽃약국,042-223-0216,34956,"대전광역시 중구 계백로1716번길 26, 미성프라자 204호 (문화동)",042-223-0217
52,건강백세대학약국,042-252-9111,34964,"대전광역시 중구 문화로 277, 1층 (대사동)",042-252-9112
53,행복한 약국,042-585-0153,34974,대전광역시 중구 계백로 1566 (유천동),042-585-0153
54,오룡대형약국,042-222-0666,34856,"대전광역시 중구 계룡로 809, 1층 (용두동, 동성빌딩)",
55,대전 약국,042-242-9494,34964,대전광역시 중구 문화로 279 (대사동),042-242-2828
56,삼부한솔약국,042-532-6784,34885,"대전광역시 중구 태평로 83, 108호 (태평동, 삼부스포렉스)",0504-248-4880
57,나나약국,042-255-1500,34962,"대전광역시 중구 서문로 96, 108호 (문화동, 센트럴파크2단지상가)",042-226-0724
58,바로 약국,042-254-1275,35041,대전광역시 중구 보문산로 402 (대사동),042-254-1278
