구분,주소지,전화번호,데이터기준일자
중구보건소,대전광역시 중구 산성로 63 (문화동),042-288-8000,2025-09-19
중구보건지소,대전광역시 중구 중앙로 100(대흥동),042-288-8150,2025-09-19
정생보건진료소,대전광역시 중구 산서로 635,042-285-0421,2025-09-19
대전 중구청,대전광역시 중구 중앙로 100 (대흥동),042-606-7312,2025-09-19
은행선화동행정복지센터,대전광역시 중구 보문로337번길 33 (선화동),042-288-8400,2025-09-19
목동행정복지센터,대전광역시 중구 목중로39번길 39 (목동),042-288-8440,2025-09-19
중촌동행정복지센터,대전광역시 중구 대종로 663-7 (중촌동),042-288-8470,2025-09-19
대흥동행정복지센터,"대전광역시 중구 대흥로 109, 3층 (대흥동)",042-288-8500,2025-09-19
문창동행정복지센터,대전광역시 중구 보문로20번길 38 (문창동),042-288-8530,2025-09-19
석교동행정복지센터,대전광역시 중구 대종로 267 (부사동),042-288-8560,2025-09-19
대사동행정복지센터,대전광역시 중구 충무로74번길 14 (대사동),042-288-8600,2025-09-19
부사동행정복지센터,대전광역시 중구 보문로68번길 20 (부사동),042-288-8630,2025-09-19
용두동행정복지센터,대전광역시 중구 동서대로1322번길 111 (용두동),042-288-8660,2025-09-19
오류동행정복지센터,대전광역시 중구 오류로 56 (오류동),042-288-8690,2025-09-19
태평1동행정복지센터,대전광역시 중구 동서대로1235번길 24-11(태평동),042-288-8720,2025-09-19
태평2동행정복지센터,대전광역시 중구 평촌로 51 (태평동),042-288-8750,2025-09-19
유천1동행정복지센터,대전광역시 중구 계백로1566번길 57 (유천동),042-288-8780,2025-09-19
유천2동행정복지센터,대전광역시 중구 문화로133번길 55 (유천동),042-288-8810,2025-09-19
문화1동행정복지센터,대전광역시 중구 문화로 195 (문화동),042-288-8840,2025-09-19
문화2동행정복지센터,대전광역시 중구 당디로6번길 90 (문화동),042-288-8870,2025-09-19
산성동행정복지센터,대전광역시 중구 대둔산로 403 (산성동),042-288-8900,2025-09-19
